index,sec,sector,chs,eng
98,4.1.0,经营活动,销售商品、提供劳务收到的现金,cashFromGoodsSalesOrRenderingOfServices
99,4.1.0,经营活动,收到的税费返还,refundOfTaxAndFeeReceived
100,4.1.0,经营活动,收到其他与经营活动有关的现金,otherCashRelatedBusinessActivitiesReceived
101,4.1.0,经营活动,经营活动现金流入小计,cashInflowsFromOperatingActivities
102,4.1.0,经营活动,购买商品、接受劳务支付的现金,buyingGoodsReceivingCashPaidForLabor
103,4.1.0,经营活动,支付给职工以及为职工支付的现金,paymentToEmployeesAndCashPaidForEmployees
104,4.1.0,经营活动,支付的各项税费,paymentsOfVariousTaxes
105,4.1.0,经营活动,支付其他与经营活动有关的现金,paymentOfOtherCashRelatedToBusinessActivities
106,4.1.0,经营活动,经营活动现金流出小计,cashOutflowsFromOperatingActivities
107,4.1.0,经营活动,经营活动产生的现金流量净额,netCashFlowsFromOperatingActivities
108,4.2.0,投资活动,收回投资收到的现金,cashReceivedFromInvestmentReceived
109,4.2.0,投资活动,取得投资收益收到的现金,cashReceivedFromInvestmentIncome
110,4.2.0,投资活动,处置固定资产、无形资产和其他长期资产收回的现金净额,disposalOfNetCashForRecoveryOfFixedAssetsIntangibleAssetsAndOtherLongTermAssets
111,4.2.0,投资活动,处置子公司及其他营业单位收到的现金净额,disposalOfNetCashReceivedFromSubsidiariesAndOtherBusinessUnits
112,4.2.0,投资活动,收到其他与投资活动有关的现金,otherCashReceivedRelatingToInvestingActivities
113,4.2.0,投资活动,投资活动现金流入小计,cashinFlowsFromInvestmentActivities
114,4.2.0,投资活动,购建固定资产、无形资产和其他长期资产支付的现金,cashForThePurchaseConstructionPaymentOfFixedAssetsIntangibleAssetsAndOtherLongTermAssets
115,4.2.0,投资活动,投资支付的现金,cashInvestment
116,4.2.0,投资活动,取得子公司及其他营业单位支付的现金净额,acquisitionOfNetCashPaidBySubsidiariesAndOtherBusinessUnits
117,4.2.0,投资活动,支付其他与投资活动有关的现金,otherCashPaidRelatingToInvestingActivities
118,4.2.0,投资活动,投资活动现金流出小计,cashOutflowsFromInvestmentActivities
119,4.2.0,投资活动,投资活动产生的现金流量净额,netCashFlowsFromInvestingActivities
120,4.3.0,筹资活动,吸收投资收到的现金,cashReceivedFromInvestors
121,4.3.0,筹资活动,取得借款收到的现金,cashFromBorrowings
122,4.3.0,筹资活动,收到其他与筹资活动有关的现金,otherCashReceivedRelatingToFinancingActivities
123,4.3.0,筹资活动,筹资活动现金流入小计,cashInflowsFromFinancingActivities
124,4.3.0,筹资活动,偿还债务支付的现金,cashPaymentsOfAmountBorrowed
125,4.3.0,筹资活动,分配股利、利润或偿付利息支付的现金,cashPaymentsForDistrbutionOfDividendsOrProfits
126,4.3.0,筹资活动,支付其他与筹资活动有关的现金,otherCashPaymentRelatingToFinancingActivities
127,4.3.0,筹资活动,筹资活动现金流出小计,cashOutflowsFromFinancingActivities
128,4.3.0,筹资活动,筹资活动产生的现金流量净额,netCashFlowsFromFinancingActivities
